ZIP Code,Week End,Season,Measure,Age Group,Population Size,Count,Percent,ZIP Code Centroid
60628,09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,13786,3,0,POINT (-87.621537 41.694192)
60624,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,10082,1,0,POINT (-87.722735 41.879417)
60645,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,36081,23,0.001,POINT (-87.695049 42.008927)
60628,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,62832,0,0,POINT (-87.621537 41.694192)
60606,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,3624,7,0.002,POINT (-87.63676 41.882634)
60601,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,1067,0,0,POINT (-87.622844 41.886262)
60621,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,21967,0,0,POINT (-87.638812 41.776931)
60707,09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,8670,0,0,POINT (-87.808283 41.921777)
60626,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,7174,0,0,POINT (-87.669834 42.009469)
60827,10/21/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,6999,3,0,POINT (-87.633087 41.650765)
60655,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,6755,0,0,POINT (-87.701434 41.696456)
60633,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,10254,1,0,POINT (-87.556037 41.653147)
60644,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,47239,2,0,POINT (-87.756863 41.881113)
60827,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,24936,0,0,POINT (-87.633087 41.650765)
60620,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,52318,6,0,POINT (-87.651656 41.740873)
60827,10/14/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,6999,2,0,POINT (-87.633087 41.650765)
60619,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,63303,0,0,POINT (-87.60569 41.744737)
60656,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,5612,5,0.001,POINT (-87.817934 41.974566)
60629,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,83340,8,0,POINT (-87.711565 41.777061)
60827,09/23/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,14834,2,0,POINT (-87.633087 41.650765)
60621,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,29570,0,0,POINT (-87.638812 41.776931)
60633,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,2024,1,0,POINT (-87.556037 41.653147)
60617,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,59583,3,0,POINT (-87.556897 41.721257)
60639,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,57171,1,0,POINT (-87.75531 41.920609)
60620,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,40189,4,0,POINT (-87.651656 41.740873)
60827,11/04/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,6999,4,0.001,POINT (-87.633087 41.650765)
60636,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,9082,1,0,POINT (-87.668597 41.77599)
60620,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,66514,6,0,POINT (-87.651656 41.740873)
60652,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,25902,1,0,POINT (-87.714238 41.745398)
60653,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,7548,15,0.002,POINT (-87.611244 41.819261)
60621,10/07/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,7603,3,0,POINT (-87.638812 41.776931)
60619,10/07/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,12459,15,0.001,POINT (-87.60569 41.744737)
60606,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,250,2,0.008,POINT (-87.63676 41.882634)
60637,09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,12401,6,0,POINT (-87.604053 41.780991)
60827,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,3103,0,0,POINT (-87.633087 41.650765)
60631,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,29691,8,0,POINT (-87.813371 41.995019)
60707,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,8670,0,0,POINT (-87.808283 41.921777)
60644,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,6300,2,0,POINT (-87.756863 41.881113)
60629,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,72386,5,0,POINT (-87.711565 41.777061)
60666,12/23/2023,2023-2024,UpToDate_2023_2024,65+ yrs,,2,,POINT (-87.896371 41.979511)
60621,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,7603,0,0,POINT (-87.638812 41.776931)
60827,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,14834,0,0,POINT (-87.633087 41.650765)
60651,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,8080,0,0,POINT (-87.741017 41.901964)
60622,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,7810,0,0,POINT (-87.681818 41.902762)
60639,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,89543,1,0,POINT (-87.75531 41.920609)
60630,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,10600,0,0,POINT (-87.759611 41.971261)
60661,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,695,2,0.003,POINT (-87.644283 41.882786)
60644,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,35830,2,0,POINT (-87.756863 41.881113)
60617,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,13627,2,0,POINT (-87.556897 41.721257)
60666,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,,0,,POINT (-87.896371 41.979511)
60666,09/23/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,,0,,POINT (-87.896371 41.979511)
60639,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,66574,1,0,POINT (-87.75531 41.920609)
60609,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,41385,3,0,POINT (-87.653382 41.812017)
60641,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,54623,9,0,POINT (-87.746791 41.946682)
60649,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,10030,0,0,POINT (-87.571522 41.762202)
60623,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,8561,2,0,POINT (-87.717446 41.850321)
60638,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,12955,19,0.001,POINT (-87.771902 41.787032)
60624,10/07/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,10082,5,0,POINT (-87.722735 41.879417)
60666,09/23/2023,2023-2024,UpToDate_2023_2024,18+ yrs,,0,,POINT (-87.896371 41.979511)
60652,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,9685,0,0,POINT (-87.714238 41.745398)
60827,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,6999,0,0,POINT (-87.633087 41.650765)
60666,09/30/2023,2023-2024,UpToDate_2023_2024,65+ yrs,,0,,POINT (-87.896371 41.979511)
60666,11/04/2023,2023-2024,UpToDate_2023_2024,65+ yrs,,1,,POINT (-87.896371 41.979511)
60619,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,12459,1,0,POINT (-87.60569 41.744737)
60609,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,6654,3,0,POINT (-87.653382 41.812017)
60605,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,27749,23,0.001,POINT (-87.623449 41.867824)
60601,09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,1067,1,0.001,POINT (-87.622844 41.886262)
60646,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,6286,1,0,POINT (-87.761826 41.993931)
60641,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,69354,9,0,POINT (-87.746791 41.946682)
60642,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,2234,0,0,POINT (-87.657821 41.899935)
60638,09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,12955,7,0.001,POINT (-87.771902 41.787032)
60606,09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,173,0,0,POINT (-87.63676 41.882634)
60630,09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,8741,6,0.001,POINT (-87.759611 41.971261)
60631,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,17385,1,0,POINT (-87.813371 41.995019)
60645,09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,48356,23,0,POINT (-87.695049 42.008927)
60610,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,3851,0,0,POINT (-87.63581 41.90455)
60633,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,3105,0,0,POINT (-87.556037 41.653147)
60608,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,13655,2,0,POINT (-87.670366 41.849879)
60645,09/16/2023,2023-2024,UpToDate_2023_2024,18-64 yrs,29123,13,0,POINT (-87.695049 42.008927)
60666,11/11/2023,2023-2024,UpToDate_2023_2024,65+ yrs,,1,,POINT (-87.896371 41.979511)
60643,09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,37828,16,0,POINT (-87.662381 41.700445)
60651,09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,14856,0,0,POINT (-87.741017 41.901964)
