ZIP Code,Season,Measure,ZIP Code Centroid,Population,Percent,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative
60601,2023-2024,UpToDate_2023_2024,POINT (-87.622844 41.886262),14675,0.2186967741935484,27.253521126760564,3278.169014084507,185.70422535211267,22338.457746478874,493.9530516431925,58529.33802816901,3365.9201877934274,398837.055399061,0.06666666666666667,0.06572769953051644,0.07042253521126761,11.657276995305164,0.4788732394366197,79.44647887323944
60602,2023-2024,UpToDate_2023_2024,POINT (-87.628309 41.883136),1244,0.3806193548387097,2.416267942583732,289.7129186602871,194.19138755980862,23288.81818181818,60.186602870813395,6862.602870813397,4838.133971291866,551656.1784688996,0.06698564593301436,0.02727272727272727,0.014354066985645933,2.2679425837320575,1.154066985645933,182.34258373205742
60603,2023-2024,UpToDate_2023_2024,POINT (-87.625473 41.880112),1174,0.31270967741935485,2.2,252.93170731707318,187.34146341463415,21544.436585365853,58.87317073170732,6721.30243902439,5014.751219512195,572512.9917073171,0.05951219512195122,0.01121951219512195,0.0,0.0,0.0,0.0
60604,2023-2024,UpToDate_2023_2024,POINT (-87.629029 41.878153),782,0.40328387096774193,2.4038461538461537,289.02403846153845,307.5144230769231,36959.59759615385,76.45192307692308,8845.336538461539,9776.466346153846,1131117.1990384615,0.041346153846153845,0.028365384615384615,0.0,0.0,0.0,0.0
60605,2023-2024,UpToDate_2023_2024,POINT (-87.623449 41.867824),27519,0.22009032258064518,37.57746478873239,4500.0610328638495,136.51643192488262,16352.562441314554,658.0657276995305,77388.6103286385,2391.300469483568,281218.83145539905,0.06384976525821597,0.06150234741784037,0.07511737089201878,11.816901408450704,0.2704225352112676,42.93521126760563
60606,2023-2024,UpToDate_2023_2024,POINT (-87.63676 41.882634),3101,0.2760967741935484,6.180094786729858,732.3507109004739,199.23222748815166,23616.597630331755,163.85308056872037,18900.379146919433,5283.876777251185,609493.043127962,0.055924170616113746,0.06113744075829384,0.052132701421800945,6.085308056872038,1.6786729857819906,196.2080568720379
60607,2023-2024,UpToDate_2023_2024,POINT (-87.652727 41.876104),29591,0.1949032258064516,45.333333333333336,5591.868544600939,153.2394366197183,18897.195774647887,918.6854460093897,107866.85915492958,3104.6150234741785,364525.89624413144,0.0568075117370892,0.04976525821596244,0.09389671361502347,13.112676056338028,0.3192488262910798,44.29577464788732
60608,2023-2024,UpToDate_2023_2024,POINT (-87.670366 41.849879),79205,0.11444516129032259,101.96244131455398,13358.305164319248,128.69483568075117,16865.48732394366,1876.4788732394366,205176.94366197183,2369.1173708920187,259045.441314554,0.05821596244131456,0.10516431924882629,0.9671361502347418,160.49295774647888,1.228169014084507,202.6281690140845
60609,2023-2024,UpToDate_2023_2024,POINT (-87.653382 41.812017),61495,0.08141290322580645,85.48826291079813,11390.81220657277,138.9906103286385,18523.14929577465,1639.150234741784,169235.81220657277,2665.507042253521,275202.55821596243,0.059154929577464786,0.10938967136150235,1.0985915492957747,177.28169014084506,1.7863849765258215,288.2882629107981
60610,2023-2024,UpToDate_2023_2024,POINT (-87.63581 41.90455),39019,0.1882967741935484,56.44392523364486,6943.953271028037,144.63084112149534,17796.33925233645,1085.1308411214952,123236.2476635514,2780.995327102804,315836.5144859813,0.056074766355140186,0.07429906542056075,0.29906542056074764,41.78504672897196,0.77196261682243,107.0892523364486
